_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4929460,5962,TR-00851,1104,Albion Rd,Islington Ave,West,Albion Rd,North,1162,1.0,Albion Islington Square,A,Existing,Provincial,0TS10872,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5657195273, 43.7376689248)}"
4929461,5963,TR-00646,781,Warden Ave,Warden Ave,East,Sherry Rd,North,T8593,20.0,,I,Existing,Provincial,0TS11484,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2863047163, 43.7249515928)}"
4929462,5964,TR-00660,1964,Victoria Park Ave,Victoria Park Ave,West,Curlew Dr,South,2412,16.0,,B,Existing,Provincial,00TS9148,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3118013232, 43.7474568002)}"
4929463,5965,TR-00498,2958,Danforth Ave,Danforth Ave,North,Sibley Ave,East,2186,19.0,Danforth Village,B,Existing,Provincial,00TS8226,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2925045524, 43.6903552285)}"
4929464,5966,TR-00951,45,Kingsplate Cres,Humberwood Blvd,South,Kingsplate Cres,West,T11295,1.0,,LKN,Existing,Provincial,0TS10866,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6161186204, 43.7238082967)}"
4929465,5967,TR-00967,2,Country Club Dr,Royal York Rd,West,Country Club Dr,North,T6986,2.0,,C,Existing,Provincial,S0406986,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5234950636, 43.6746870146)}"
4929466,5968,TR-00673,720,Warden Ave,Warden Ave,West,Fairfax Cres,North,T8564,20.0,,A,Existing,Provincial,0TS11306,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2830236698, 43.7163145117)}"
4929467,5969,TR-00717,2,Beaconhill Rd,Kipling Ave,West,Beaconhill Rd,North,T4282,1.0,,LC,Temporarily Removed,Provincial,0TS11716,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.587289246, 43.7536789551)}"
4929468,5970,TR-00556,800,Lansdowne Ave,Lansdowne Ave,West,Lappin Ave,North,T4405,9.0,,S,Existing,Provincial,S1804405,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4459738593, 43.6652368051)}"
4929469,5971,TR-00570,3075,Danforth Ave,Victoria Park Ave,East,Danforth Ave,South,1971,20.0,Crossroads of the Danforth,A,Existing,Provincial,00TS1488,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2881178891, 43.6909893069)}"
4929470,5972,TR-00990,1648,Kipling Ave,Kipling Ave,West,The Westway,North,2295,2.0,,J,Existing,Provincial,00TS5132,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5550222954, 43.6859168296)}"
4929471,5973,TR-00723,55A,Fenmar Dr,Weston Rd,West,Fenmar Dr,South,T8721,7.0,Emery Village,A,Existing,Provincial,0TS11422,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5437285726, 43.7568994989)}"
4929472,5976,TR-00523,1000,Lawrence Ave W,Lawrence Ave W,North,Dufflaw Rd,East,813,8.0,,A,Existing,Provincial,0TS10886,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4607072751, 43.7129242894)}"
4929473,5977,TR-00541,335,High Park Ave,High Park Ave,East,Dundas St W,South,T3696,4.0,The Junction,T,Existing,Provincial,S1303696,TO360,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4700618962, 43.6650561735)}"
4929474,5978,TR-00870,2459,Islington Ave,Islington Ave,East,Fordwich Cres,South,T3795,1.0,,A,Existing,Provincial,0TS11390,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5604673021, 43.7269181877)}"
4929475,5980,TR-00706,630,Keele St,St Clair Ave W,South,Keele St,West,T7898,5.0,,U,Existing,Provincial,00TS6658,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4678570052, 43.6723286512)}"
4929476,5981,TR-03944,,,Steeles Ave E,North,Laureleaf Rd S,West,T8240,17.0,,LCN,Existing,Provincial,S2408240,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3880420666, 43.805199111)}"
4929477,5982,TR-04003,432,Nugget Ave,Nugget Ave,North,Markham Rd,West,T9598,23.0,,LCN,Existing,Provincial,S4109598,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2417739869, 43.7985437668)}"
4929478,5983,TR-00737,620,Wilson Ave,Wilson Ave,North,Dufferin St,West,T1656,6.0,Wilson Village,A,Existing,Provincial,0TS12054,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4594888322, 43.7321505459)}"
4929479,5985,TR-06027,155,Gordon Baker Rd,Harold Evans Cres,West,McNicoll Ave,North,T2692,17.0,,RN2,Existing,Provincial,S2402692,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3420094938, 43.8035672477)}"
4929480,5986,TR-06113,159,Almore Ave,Faywood Blvd,East,Almore Ave,South,T2460,6.0,,LCN,Existing,Provincial,S1002460,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4489816495, 43.7456094836)}"
4929481,5988,TR-06126,,,Chesswood Dr,East,Champagne Dr,South,T3426,6.0,DuKe Heights,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.476394014, 43.7641234061)}"
4929482,5989,TR-06066,,,Brimley Rd,East,Brimwood Blvd,North,T4829,23.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2804415659, 43.8129283038)}"
4929483,5990,TR-06014,515,The Queensway,Park Lawn Rd,West,The Queensway,South,T10127,3.0,shoptheQueensway.com,LC,Existing,Provincial,0TS13704,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4901662448, 43.6287578697)}"
4929484,5991,TR-06011,2081,Lake Shore Blvd W,Lake Shore Blvd W,South,Marine Parade Dr,East,T14852,3.0,,LC,Existing,Provincial,0TS13708,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4766018061, 43.6303946559)}"
4929485,5992,TR-06008,21,Commissioners St,Cherry St,East,Commissioners St,South,T13931,14.0,,KR2,Temporarily Removed,Provincial,TS13748P,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3520734516, 43.6450409139)}"
