_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4925997,1,SH-02236,21,Redway Rd,Millwood Rd,West,Overlea Blvd,South,T2927,15.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3525662867, 43.7016026457)}"
4925998,2,SH-01079,2500,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,North,T7426,17.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3233502906, 43.7755353968)}"
4925999,4,SH-01713,155,Culford Rd,Lawrence Ave W,South,Culford Rd,East,T5356,5.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4873237914, 43.7063108168)}"
4926000,6,SH-00626,5359,Dundas St W,Dundas St W,South,Poplar Ave,West,T2180,3.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5401479114, 43.635766332)}"
4926001,7,SH-02437,3077,Weston Rd,Weston Rd,West,Mainshep Rd,North,T11717,7.0,Emery Village,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.537795395, 43.7318061169)}"
4926002,8,SH-03650,1111A,College St,College St,South,Dufferin St,West,T826,9.0,College West,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4327269729, 43.652446126)}"
4926003,14,SH-00232,781,Warden Ave,Warden Ave,West,Civic Rd,,T8548,20.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2868126979, 43.7252948046)}"
4926004,20,SH-02343,2200,Jane St,Jane St,East,Wilson Ave,North,T3940,6.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5084781764, 43.7212937143)}"
4926005,26,SH-00692,986,The Queensway,The Queensway,North,Islington Ave,East,T6895,3.0,shoptheQueensway.com,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.514393635, 43.6238508677)}"
4926006,30,SH-03025,300,The East Mall,The East Mall,West,Bloor St W,North,T2202,2.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5570031109, 43.637185214)}"
4926007,34,SH-03367,5810,Sheppard Ave E,Sheppard Ave E,North,Gateforth Dr,East,T9965,23.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2301099749, 43.7957889642)}"
4926008,38,SH-03483,10,Life Saving Dr,Wellness Way,East,Life Saving Dr,North,,15.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3776950272, 43.7215320904)}"
4926009,40,SH-03913,1095,Neilson Rd,Neilson Rd,East,Sewells Rd,South,T1399,25.0,,D,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2183141765, 43.80641336)}"
4926010,45,SH-00624,47,Bathurst St,Bathurst St,East,Wellington St W,South,T217,10.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4019931602, 43.6425821124)}"
4926011,52,SH-01554,1524,Bathurst St,Bathurst St,West,Tichester Rd,South,T210,12.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4192419634, 43.685179334)}"
4926012,54,SH-03135,2345,Finch Ave W,Weston Rd,East,Finch Ave W,South,T8723,7.0,Emery Village,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5421355711, 43.7518326485)}"
4926013,58,SH-03491,122,Tapscott Rd,,,Washburn Way,,,23.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2240153161, 43.8046202601)}"
4926014,59,SH-01061,338,Donlands Ave,Donlands Ave,West,Torrens Ave,North,T976,14.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.342508729, 43.6928827733)}"
4926015,77,SH-00234,1,Winter Gardens Trl,Port Union Rd,,Winter Gardens Trl,,,25.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1388027108, 43.7852104517)}"
4926016,79,SH-03390,1,Glen Watford Dr,Sheppard Ave E,North,Glen Watford Dr,East,T6054,23.0,Sheppard East Village,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2757671973, 43.7861379186)}"
4926017,81,SH-01227,7600,Sheppard Ave E,,,Morningside Ave,,T9319,25.0,,D,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2004362071, 43.8019761112)}"
4926018,83,SH-01412,1200,Eglinton Ave E,Eglinton Ave E,North,Dvp S Eglinton Ramp,East,T2267,16.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3314845851, 43.722961444)}"
4926019,92,SH-02130,220X,The East Mall,,,Yarn Rd,,,3.0,,Standard Daytech,Temporarily Removed,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5534542115, 43.6320274691)}"
4926020,95,SH-02664,245,Eglinton Ave E,Eglinton Ave E,South,Taunton Rd,West,T9113,15.0,Mount Pleasant Village,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3892401843, 43.7084936383)}"
4926021,103,SH-01743,2606,St Clair Ave W,,,Jane St,,T13308,5.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.491461891, 43.6673374461)}"
4926022,107,SH-00297,6705,Sheppard Ave E,Neilson Rd,East,Sheppard Ave E,South,T1400,25.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2173610161, 43.7979298847)}"
4926023,110,SH-01268,294,Yonge St,Dundas St W,South,Yonge St,West,T2197,13.0,Downtown Yonge,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3811303948, 43.6562107545)}"
4926024,111,SH-00247,580,Rathburn Rd,Rathburn Rd,North,Centennial Park Rd,West,T1501,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5817990025, 43.6507154779)}"
4926025,112,SH-03579,7,Field Sparroway,Finch Ave E,North,Leslie St,West,T2519,17.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3692013588, 43.7901560131)}"
4926026,114,SH-03148,66,Lunsfield Cres,Mccowan Rd,West,Sandhurst Crcl,North,T1316,23.0,,A,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2655400631, 43.8053159026)}"
4926027,123,SH-01983,43,Eglinton Ave E,Eglinton Ave E,South,Holly St,West,T3538,12.0,,B,Temporarily Removed,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.397139236, 43.7069050043)}"
4926028,124,SH-03346,1,Thompson Rd,Thompson Ave,South,Ian Macdonald Blvd,West,,7.0,,Standard Ancaster,Existing,Ancaster,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5098001657, 43.7748066027)}"
4926029,128,SH-02084,15,Damascus Dr,Finch Ave W,North,Damascus Dr,East,T2592,1.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5978425624, 43.7354624421)}"
4926030,143,SH-02741,2051,Bridletowne Crcl,Finch Ave E,North,Birchmount Rd,East,T2553,22.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3097458063, 43.7982558221)}"
4926031,144,SH-03601,63,Hunting Ridge,Kipling Ave,East,Hunting Ridge,South,T4328,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5525335015, 43.6812598143)}"
4926032,146,SH-01121,7,Arleta Ave,Sheppard Ave W,North,Northover St,East,T6058,7.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5013449572, 43.7416745767)}"
4926033,152,SH-03122,4002,Sheppard Ave E,Sheppard Ave E,North,Kennedy Rd,East,T7197,22.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2880494321, 43.7835098518)}"
4926034,155,SH-01658,63,Silversted Dr,Mccowan Rd,West,Kenhatch Blvd,North,T1302,23.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2639923973, 43.8015974975)}"
4926035,157,SH-03619,1985,Dundas St W,Dundas St W,South,Sorauren Ave,West,T987,4.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4457308497, 43.6512254157)}"
4926036,159,SH-00036,276,St Clair Ave E,Mount Pleasant Rd,East,St Clair Ave E,North,T5844,11.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3833018958, 43.6907645737)}"
4926037,166,SH-02501,1200-1234,Lawrence Ave E,Lawrence Ave E,North,Curlew Dr,West,T5256,16.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3197430653, 43.7413009271)}"
4926038,172,SH-03124,500,Rexdale Blvd,Queen's Plate Dr,East,Rexdale Blvd,North,,1.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6026321569, 43.7196312469)}"
4926039,175,SH-02766,450,Dundas St W,Dundas St W,North,Huron St,East,T2169,10.0,Chinatown,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3960460943, 43.6534189395)}"
4926040,180,SH-03808,3939,Lawrence Ave E,Lawrence Ave E,South,Orton Park Rd,West,T5299,24.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2057812748, 43.7638803031)}"
4926041,197,SH-03697,109,Cosburn Ave,Cosburn Ave,South,Pape Ave,West,T861,14.0,Pape Village,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3490475536, 43.6892855324)}"
4926042,198,SH-00271,552,Midland Ave,St Clair Ave E,South,Midland Ave,West,T1569,20.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2515828659, 43.7185528723)}"
4926043,203,SH-00495,3930,Lawrence Ave E,Lawrence Ave E,North,Orton Park Rd,East,T5300,24.0,,D,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2053036358, 43.7642683644)}"
4926044,205,SH-01318,444,Dawes Rd,Dawes Rd,West,Gower St,North,T1897,19.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2970402092, 43.7024201082)}"
4926045,206,SH-03158,160,Crow Trl,Neilson Rd,West,Crow Trl,North,T1375,23.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2259802273, 43.8123971108)}"
4926046,209,SH-00699,164,Evans Ave,Evans Ave,North,Islington Ave,East,T9399,3.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.510927861, 43.61860299)}"
4926047,211,SH-00101,17,Symington Ave,Symington Ave,East,Bloor St W,North,T4648,9.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4478301553, 43.6576471673)}"
4926048,218,SH-00887,20,Eglinton Ave W,Eglinton Ave W,North,Yonge St,West,T9898,8.0,,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3989136451, 43.7067275339)}"
4926049,222,SH-02571,33,Parmalea Cres,Kipling Ave,East,Gracey Blvd,South,T4316,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.553614286, 43.6836082945)}"
4926050,224,SH-00565,70,Carlton St,Carlton St,North,Church St,West,T752,13.0,,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3791608104, 43.6619929728)}"
4926051,225,SH-03761,626,Dundas St W,Dundas St W,North,Denison Ave,East,T2157,11.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4021146447, 43.6521382731)}"
4926052,233,SH-03203,731,College St,College St,South,Crawford St,West,T822,11.0,Little Italy,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4191921589, 43.65502236)}"
4926053,241,SH-02577,126,O'Connor Dr,Pape Ave,West,O'Connor Dr,North,T5988,14.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3505065411, 43.6933805457)}"
4926054,242,SH-02022,35,Widdicombe Hill,Kipling Ave,East,Widdicombe Hill,South,T4389,2.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5514557089, 43.678859474)}"
4926055,246,SH-01167,1284,King St W,King St W,North,Spencer Ave,East,T13890,4.0,,Canopy,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4306828087, 43.6383370863)}"
4926056,249,SH-03029,4900,Dufferin St,Dufferin St,West,Dolomite Dr,North,T7649,6.0,DuKe Heights,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4699918825, 43.7809914078)}"
4926057,254,SH-03454,739,The Queensway,The Queensway,South,Uno Dr,East,T6913,3.0,shoptheQueensway.com,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5030689571, 43.6261305994)}"
4926058,260,SH-00518,40,Parkcrest Dr,Kingston Rd,South,Parkcrest Dr,West,T4250,20.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.220366991, 43.7355975345)}"
4926059,264,SH-02078,4610X,Eglinton Ave W,Eglinton Ave W,North,Kipling Ave,East,T2371,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5506036471, 43.677408815)}"
4926060,266,SH-03290,1151X,Albion Rd,Albion Rd,South,John Grubb Crt,West,T11719,1.0,Albion Islington Square,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5681111673, 43.7376168028)}"
4926061,270,SH-03465,215,College St,College St,South,Beverley St,West,T815,11.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3962303744, 43.658547285)}"
4926062,271,SH-00867,2358,Eglinton Ave W,Eglinton Ave W,North,Blackthorn Ave,East,,5.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4651492578, 43.6921040799)}"
4926063,273,SH-02825,123,Eglinton Ave E,Eglinton Ave E,South,Redpath Ave,West,T2304,12.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3930089943, 43.7077429218)}"
4926064,276,SH-00900,1008,Military Trail,Morningside Ave,East,Military Trl,South,T2958,25.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1939125673, 43.7887768743)}"
4926065,277,SH-00198,188,Eglinton Ave E,Eglinton Ave E,North,Redpath Ave,East,T2305,12.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3926162945, 43.7080139238)}"
4926066,278,SH-02206,940,The East Mall,Eglinton Ave W,North,The East Mall,East,T2344,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.571034581, 43.6721128453)}"
4926067,286,SH-03267,4979,Bathurst St,Bathurst St,East,Brenthall Ave,North,T85,18.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4432483156, 43.7755523343)}"
4926068,290,SH-03654,250,Rogers Rd,Eglinton Ave W,South,Little Blvd,West,,9.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4587168444, 43.6937144476)}"
4926069,292,SH-02644,20,Ellesmere Rd,Victoria Park Ave,East,Ellesmere Rd,North,T8456,21.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3151418327, 43.7581654043)}"
4926070,300,SH-02076,4400,Eglinton Ave W,Eglinton Ave W,North,Russell Rd,East,T2405,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5326212251, 43.6812717947)}"
4926071,309,SH-03383,32,Halesia Dr,Finch Ave W,South,Woodbine Downs Blvd,West,T2600,1.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6070127023, 43.7336305848)}"
4926072,311,SH-02950,756,Warden Ave,,,Warden Ave,,,20.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2844394929, 43.7197795398)}"
4926073,316,SH-03308,100,Eglinton Sq,Eglinton Ave E,South,Pharmacy Ave,East,,20.0,,Standard Daytech,Temporarily Removed,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2973043537, 43.7255033763)}"
4926074,317,SH-00124,78,Dunloe Rd,Spadina Rd,East,Archer Rd,South,T4606,12.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4156470668, 43.695988556)}"
4926075,322,SH-00491,175,Cummer Ave,Willowdale Ave,East,Cummer Ave,South,T8800,18.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4097368761, 43.7884513425)}"
4926076,325,SH-01699,3034,Bayview Ave,Bayview Ave,West,Parkview Ave,North,T9476,18.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3903309904, 43.776243686)}"
4926077,330,SH-02346,4330,Dufferin St,Dufferin St,West,Steeprock Dr,North,T9417,6.0,DuKe Heights,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4655981972, 43.7618583362)}"
4926078,331,SH-00876,364,Evans Ave,Kipling Ave,East,Evans Ave,North,T4307,3.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5246854021, 43.6163260549)}"
4926079,334,SH-00944,20,Ellesmere Rd,Ellesmere Rd,North,Victoria Park Ave,East,T6372,21.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3149950551, 43.7580928783)}"
4926080,335,SH-01974,37,Grosvenor St,Bay St,East,Grosvenor St,South,T250,13.0,Downtown Yonge,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3861914362, 43.6623571728)}"
4926081,336,SH-00214,630X,Rogers Rd,Bicknell Ave,West,Rogers Rd,North,,5.0,Rogers Road,Standard Ancaster,Existing,Ancaster,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4741811397, 43.6821348241)}"
4926082,343,SH-00377,1300,Islington Ave,Islington Ave,West,Dundas St W,South,T10300,3.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5258668641, 43.6499172475)}"
4926083,362,SH-00319,2500,Don Mills Rd,Sheppard Ave E,North,Don Mills Rd,West,T7178,17.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3476616594, 43.7751034957)}"
4926084,364,SH-01535,54,Inniscross Cres,Steeles Ave E,South,Kelvin Grove Ave,West,T9347,22.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3124444082, 43.8222746314)}"
4926085,379,SH-02370,2,Codsell Ave,Bathurst St,West,Codsell Ave,North,T109,6.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4394488592, 43.7588043079)}"
4926086,381,SH-02729,3350,Weston Rd,Weston Rd,West,Habitant Dr,North,T8729,7.0,Emery Village,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5412657268, 43.7460484312)}"
4926087,391,SH-00537,2,Ossington Ave,Ossington Ave,West,Queen St W,North,T5979,10.0,West Queen West,B,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4189964241, 43.644352439)}"
4926088,412,SH-00964,90,Queen's Park,Queen's Park,West,Charles St W,South,T1458,11.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3936161864, 43.667069728)}"
4926089,415,SH-03360,762,Broadview Ave,Danforth Ave,South,Broadview Ave,West,T870,14.0,Broadview Danforth,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3590542051, 43.6760644944)}"
4926090,417,SH-01069,72,Croach Cres,Finch Ave E,South,Middlefield Rd,West,T2532,23.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2581701807, 43.8096706656)}"
4926091,422,SH-02637,1800,Yonge St,Yonge St,West,Merton St,North,T10800,12.0,Midtown Yonge,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3963106804, 43.6962927911)}"
4926092,429,SH-01590,5077,Finch Ave E,Finch Ave E,South,Sandhurst Crcl,West,T2546,23.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2630727663, 43.8086447626)}"
4926093,435,SH-00072,2499,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,South,T7425,17.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3229567965, 43.7747321813)}"
4926094,439,SH-01961,940,The East Mall,The East Mall,West,Eglinton Ave W,South,T2208,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5711741434, 43.6713793753)}"
4926095,442,SH-03368,931,Yonge St,Yonge St,East,Baxter St,North,T3211,11.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3887875554, 43.6754460973)}"
4926096,443,SH-02931,1349,Woodbine Ave,Cosburn Ave,North,Woodbine Ave,East,T9462,19.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.317240351, 43.6965388181)}"
4926097,444,SH-02989,3220,Kingston Rd,Kingston Rd,North,Pine Ridge Dr,East,T4220,20.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2264730723, 43.7305756559)}"
4926098,448,SH-03207,25,Thunder Grv,,,Finch Ave E,,,23.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2665310566, 43.8085921392)}"
4926099,454,SH-00572,555,Rexdale Blvd,Grandstand Ent Rd,South,Queen's Plate Dr,West,,1.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6038683586, 43.7186310723)}"
4926100,456,SH-01776,170,College St,College St,North,Mc Caul St,East,T838,11.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.393248441, 43.659364994)}"
4926101,458,SH-00244,295,The West Mall,The West Mall,East,Bloor St W,South,T8667,2.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5619021129, 43.6352929248)}"
4926102,460,SH-03682,1901,Mccowan Rd,Mccowan Rd,East,Nugget Ave,South,T1310,23.0,Sheppard East Village,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2595456212, 43.7917635618)}"
4926103,468,SH-03386,4899-4931,Bathurst St,Bathurst St,East,Finch Ave W,South,T136,18.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4427049883, 43.7735588273)}"
4926104,471,SH-03008,2669,Jane St,Jane St,South,Sheppard Ave W,East,T3920,6.0,,D,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5129098055, 43.7390950333)}"
4926105,476,SH-01199,705,Mccowan Rd,Lawrence Ave E,South,Mccowan Rd,East,T9650,24.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2452876461, 43.7557523835)}"
4926106,477,SH-02710,191,Attwell Dr,Farnboro Rd,South,Attwell Dr,East,T11202,1.0,,Canopy,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5868915027, 43.6915663449)}"
4926107,483,SH-03419,259,The Kingsway,Royal York Rd,West,Strath Humber Crt,North,T1519,2.0,,C,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5179939233, 43.6619097116)}"
4926108,489,SH-00913,1165,Leslie St,Leslie St,East,,,T9165,16.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3513497979, 43.7275623016)}"
4926109,492,SH-02797,1581,The Queensway,The Queensway,South,Atomic Ave,West,T6871,3.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.540989938, 43.6175800303)}"
4926110,493,SH-02858,100,Queen St W,Bay St,West,Albert St,North,,10.0,,Custom,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3832206254, 43.6538462102)}"
4926111,494,SH-01740,155,Rochman Blvd,Markham Rd,West,Rochman Blvd,South,T5581,24.0,,B,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2271287075, 43.7640934198)}"
4926112,495,SH-02198,3181,Finch Ave E,Bayview Ave,East,Finch Ave E,North,T292,17.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.392136089, 43.785644751)}"
4926113,497,SH-02141,7,Arleta Ave,Arleta Ave,East,Sheppard Ave W,North,T9210,7.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5015437222, 43.741961551)}"
4926114,499,SH-01690,35,Warrender Ave,Eglinton Ave W,South,Kipling Ave,West,T2370,2.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5513094402, 43.6769882829)}"
4926115,509,SH-00197,1666,Albion Rd,Martin Grove S Albion W Ramp,West,Albion Rd,North,T5589,1.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5946229029, 43.7422002893)}"
4926116,510,SH-00050,1558,Kipling Ave,Kipling Ave,West,Clement Rd,North,T4300,2.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5531100489, 43.681637558)}"
4926117,513,SH-01038,401,College St,College St,South,Borden St,West,T816,11.0,,B,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.405345856, 43.6567992311)}"
